htid	HTRecord	WWEnd ID	ISFDB ID	Title	Author	Year
uva.x000276674	101864831	N/A	34596	Giants Unleashed	Groff Conklin	1965
iau.31858006106367	100924595	N/A	34601	Science Fiction Omnibus	Groff Conklin	1956
osu.32435053366498	5814898	N/A	34601	Science Fiction Omnibus	Groff Conklin	1956
uva.x000527951	101892181	N/A	34605	Strange Adventures in Science Fiction	Groff Conklin	1954
uva.x000180107	1441753	N/A	34622	Beyond Time and Space	August Derleth	1950
mdp.39015016459920	1441755	N/A	34627	Portals of Tomorrow	August Derleth	1954
mdp.39015034605462	1903278	N/A	34627	Portals of Tomorrow	August Derleth	1954
uc1.b4562656	1441755	N/A	34627	Portals of Tomorrow	August Derleth	1954
mdp.39015014830106	1026922	N/A	34629	Time to Come	August Derleth	1954
mdp.39015024078555	1113047	N/A	34648	Beyond Tomorrow	Damon Knight	1965
mdp.39015021932101	1026925	N/A	34653	Dimension X	Damon Knight	1970
pst.000021120350	6813048	N/A	34655	First Contact	Damon Knight	1971
mdp.39015002498098	1026926	N/A	34659	One Hundred Years of Science Fiction	Damon Knight	1968
